message,otp_request,upfront_fee,guaranteed_approval,urgency_pressure,excessive_permissions,fake_rbi_claim,hidden_charges,suspicious_link,flag,risk_score,risk_category
Claim your loan approved by sending OTP immediately.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Fraudulent transaction detected, provide your OTP.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"Your account has been suspended, verify OTP now!",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Your account balance is adequate.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Please ignore unknown SMS.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Click here to reset your banking password.,1,0,0,0,0,0,0,1,1,45,High Risk 🟠
Payment received successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Send your OTP to claim your prize!,1,1,0,0,0,0,0,0,1,55,High Risk 🟠
Your debit card has been blocked.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"New offers available, accept today!",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your account is at risk, immediate action required.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your mobile recharge was successful, thank you.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your loan application is approved, send OTP now!",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Do not share your bank details with anyone.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Account hacked! Open the app now to secure it.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Your OTP code expires in 5 minutes, do not share",1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
"Loan approved, confirm by sending OTP code.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Update your account details to avoid suspension.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Thank you for using our service.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"নতুন অফার এসেছে, আজই অ্যাকসেপ্ট করুন।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Claim your loan approved by sending OTP.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"Fraudulent transaction detected, provide OTP.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"জরুরি! আপনার ব্যাংক একাউন্ট বন্ধ হওয়ার ঝুঁকি, OTP: 3798",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
আপনার একাউন্টে ৫০০ টাকা জমা হয়েছে।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your OTP is 8741, do not share it with anyone.",1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
"আপনার নাম্বারে লোন পেয়েছে, ফর্ম জমা দিন দ্রুত!",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your account suspended, verify OTP now!",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
সাবধান! আপনার একাউন্ট থেকে অস্বীকৃত টাকা উত্তোলন হয়েছে। জরুরি যাচাই করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার OTP কোড 834729, কেউ যাতে জানতে না পারে সতর্ক থাকুন।",1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
"আপনার মোবাইল ব্যাংকিং একাউন্ট বন্ধ হতে যাচ্ছে, এখনি লগইন করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার একাউন্ট চালু রয়েছে, সর্বশেষ ব্যালেন্স ১০,০০০ টাকা।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"ডেবিট কার্ড ব্যবহার সীমিত করতে OTP দিন, অন্যথায় একাউন্ট ব্লক হবে।",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
আপনার অ্যাকাউন্ট ভেরিফিকেশন করতে নিচের লিঙ্কে ক্লিক করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"ওয়ালেট রিচার্জ সফল হয়েছে, পরবর্তী লেনদেনের জন্য প্রস্তুত থাকুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
নতুন অফার! আপনার একাউন্টে নগদ টাকা রিফান্ড করা হয়েছে,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
অবিলম্বে OTP দিন অন্যথায় অ্যাকাউন্ট থেকে টাকা উঠে যেতে পারে।,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"আপনার ট্রান্সপোর্ট ফি জমা হয়েছে, ধন্যবাদ।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
ব্যাংকের তরফ থেকে জরুরি বার্তা: আপনার একাউন্ট আপডেট করুন আজই।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার মোবাইল ব্যাংকিং PIN পরিবর্তন করা হয়েছে, যদি না করেন তবে রিপোর্ট করুন।",1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
একাউন্ট সিকিউরিটি হুমকি! নিম্নলিখিত OTP দিয়ে যাচাই সম্পন্ন করুন।,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"আপনার লোন আবেদন প্রক্রিয়াধীন, সম্পূর্ণ করতে OTP দিন।",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
আপনার ব্যালেন্স ৫০০০ টাকার নিচে এসে গেছে।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"আপনার ডেবিট কার্ডের নিরাপত্তা লঙ্ঘিত হয়েছে, অবিলম্বে যাচাই করতে OTP দিন।",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"আপনার ডেবিট কার্ড থেকে ৫০০০ টাকা কাটা হয়েছে, অবিলম্বে TRX কোড পাঠান।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! You won a prize. Please send OTP to claim.,1,1,0,0,0,0,0,0,1,55,High Risk 🟠
আপনার মোবাইল অ্যাপ্লিকেশন আপডেট সফল হয়েছে।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your OTP is 789654, keep it confidential to secure your account.",1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
Claim your cashback by entering OTP received in next 5 minutes.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
নিরাপত্তার জন্য আপনার ফোন থেকে আমাদের কনফার্মেশন চান।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Important: Your account verification is pending. Please provide OTP.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Your debit card transaction of 5000 taka was declined. Contact support.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! Claim your reward by submitting OTP within 10 minutes.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Your recent login was from a new device. If not you, verify with OTP.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Update your payment information immediately to avoid suspension.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your mobile recharge of 20 taka is successful. Thank you for your payment.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Refund of 100 taka has been processed to your account.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Warning: Suspicious activity detected, confirm via OTP now.",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Your loan application was approved. Verify details using OTP.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Please ignore any unknown messages pretending to be your bank.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your online banking password expired. Reset it via the provided link.,1,0,0,0,0,0,0,1,1,45,High Risk 🟠
Your account balance is low. Add funds to continue service.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"To secure your account, provide the OTP sent to your registered phone.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Payment of 2500 taka received. Thanks for banking with us,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert: Unauthorized transaction attempt detected. Change password now.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Your credit card limit has been increased. Check details in app.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Verify your identity to avoid account suspension. OTP required.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Your request to withdraw 5000 taka was successful.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Last chance: Provide OTP to claim your prize money now.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Your scheduled payment will be processed tomorrow.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Alert! Unauthorized login attempt detected. Confirm with OTP immediately.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Your BDT 10,000 wallet transfer was successful. Thank you for using our service.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Suspicious withdrawal of BDT 25,000 detected. Please verify with OTP now.",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Your internet banking password expired, reset it today to avoid service disruption.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
BDT 100 recharge completed successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Congratulations! You won BDT 5,000 cashback. Submit OTP to receive.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Verify your identity by entering the OTP sent to your mobile to continue transactions.,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Your debit card ending 1234 has been temporarily blocked for suspicious activity.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"BDT 35,000 loan approved. Confirm by sending OTP within 10 minutes.",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Your account balance is BDT 8,200.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Immediate action needed! Unrecognized device logged in, confirm with OTP now.",1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Reminder: Your scheduled BDT 12,000 bill payment will process tomorrow.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Your BDT 2,000 refund has been processed successfully.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"OTP validation required to complete your BDT 20,000 transfer.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
Update your mobile number in banking records today for uninterrupted service.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your recent transaction of BDT 7,500 has been verified",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Secure your account now! OTP sent to your registered contact.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"BDT 15,000 payment received from your account.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Warning: Suspicious activity in your account. Verify using your OTP immediately.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"Your loan payment of BDT 10,000 is overdue. Please pay immediately to avoid penalties.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Congratulations! You won a free investment plan. Call now to claim your prize.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
New job opportunity with high salary. Send your CV to apply immediately.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"You have been selected for a government grant of BDT 50,000. Contact us now.",0,0,0,1,0,1,0,0,1,45,High Risk 🟠
Exclusive offer: Double your money in 30 days with our secret scheme.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Your lottery ticket won BDT 1,00,000. Send your details for prize delivery.",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Join our online trading platform for guaranteed profits.,0,0,1,0,0,0,0,0,1,15,Low Risk 🟢
Beware of strangers asking for your financial details over chat or SMS.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your KYC verification is complete. Thank you for your cooperation.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Earn BDT 2,000 daily working from home. Register now!",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Immediate payment required for customs clearance. Pay BDT 5,000 now.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Congratulations! You are shortlisted for a luxury car giveaway.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Investment opportunity with zero risk and high returns. Contact us.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Monthly subscription paid successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Avoid fake schemes promising overnight wealth. Stay cautious.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Free smartphone giveaway for lucky winners. Reply to participate.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Urgent: Pay BDT 10,000 to avoid legal action related to tax dues.",0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your online order has been shipped successfully.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your health insurance claim has been approved. Contact for details.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Secure your future with our pension plan. Enroll today!,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Reminder: Electricity bill payment of BDT 3,500 is due tomorrow.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
বিশাল বিনিয়োগের সুযোগ! দ্রুত আজই ফোন করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
বিনামূল্যে ক্যাশব্যাক জন্য আজই বেছে নিন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আধার কার্ড হারিয়ে গেলে কি করবেন? আজই যোগাযোগ করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
জাল ব্যবসায়িক সুযোগ! দ্রুত বিনিয়োগ করুন এবং বড় লাভ করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার লাইভ লটারি জেতা হয়েছে! এখনই প্রমাণ পাঠান।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
মোবাইল ট্রেডিং প্ল্যাটফর্মে যোগ দিন। নিশ্চিত লাভের গ্যারান্টি।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
অবৈধ আর্থিক লেনদেন এড়ানোর জন্য সতর্ক থাকুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার বৈধতা নিশ্চিত করতে আমাদের নিকট যোগাযোগ করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"বাসা ভাড়া, চাকরি এবং ব্যবসার জন্য দ্রুত ঋণ পেতে যোগাযোগ করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
দ্রুত বিনিয়োগ করুন এবং মাসে কোটি টাকা উপার্জন করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
নির্ভরযোগ্য ব্যাংক অ্যাকাউন্ট থেকে টাকা সরাসরি পাঠান।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার একটি চূড়ান্ত সুযোগ! আজই অংশ নিন এবং বড় লাভ করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
বিনামূল্যে ব্যাংক সাবসক্রিপশন পেতে আজই যোগাযোগ করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
বনধের পরিসীমা থেকে প্রাইভেট জেনারেশন শুরু হয়েছে। বিনিয়োগ করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
হারানো পণ্য পুনরুদ্ধার করতে আমাদের সাথে যোগাযোগ করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
দ্রুত উপার্জনের জন্য আজই যোগ দিন। প্রতিদিন BDT 2000 থেকে BDT 5000 পর্যন্ত উপার্জন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
আপনার পেমেন্ট পরবর্তী সপ্তাহে কাটা হবে না! দ্রুত কার্যক্রম নিন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার প্রিয়জনের জন্য গোপন নোটিশ: সাধারণ ফিচার ডাউনলোড করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
বিনিয়োগের জন্য দুর্দান্ত সুযোগ! ব্যাঙ্কের পার্টনারশিপে বড় লাভ।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
পেমেন্টের জন্য ধন্যবাদ। আপনার ট্রানজেকশন সফল হয়েছে।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"আপনার একাউন্ট থেকে অজানা লেনদেন হয়েছে, দ্রুত যাচাই করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার মোবাইল রিচার্জ সফল হয়েছে, ধন্যবাদ।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
জরুরি! OTP দিয়ে একাউন্ট যাচাই করুন না হলে ব্লক হবে।,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"আজকের বিশেষ অফার থেকে সুযোগ নিন, আজই কল করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার লোন আবেদন সফল হয়েছে, ফর্ম পূরণের জন্য OTP প্রদান করুন।",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
আপনার অ্যাকাউন্টে নতুন অ্যাক্টিভিটি শনাক্ত করা হয়েছে।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"নম্বর থেকে টাকা সফলভাবে উত্তোলন হয়েছে, ধন্যবাদ।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার একাউন্টের বিস্তারিত তথ্য যাচাই করতে লিঙ্কে ক্লিক করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
অনলাইন কেনাকাটায় ক্যাশব্যাক পেতে OTP পাঠান।,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"নতুন সিম কার্ড চালু হয়েছে, ধন্যবাদ ব্যবহারের জন্য।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
