message,risk_score,risk_category,flag
Claim your loan approved by sending OTP immediately.,45,High Risk,1
"Fraudulent transaction detected, provide your OTP.",30,Medium Risk,1
"Your account has been suspended, verify OTP now!",45,High Risk,1
Your account balance is adequate.,0,Low Risk,0
Please ignore unknown SMS.,0,Low Risk,0
Click here to reset your banking password.,45,High Risk,1
Payment received successfully.,0,Low Risk,0
Send your OTP to claim your prize!,55,High Risk,1
Your debit card has been blocked.,0,Low Risk,1
"New offers available, accept today!",0,Low Risk,0
"Your account is at risk, immediate action required.",0,Low Risk,1
"Your mobile recharge was successful, thank you.",0,Low Risk,0
"Your loan application is approved, send OTP now!",45,High Risk,1
Do not share your bank details with anyone.,0,Low Risk,0
Account hacked! Open the app now to secure it.,15,Low Risk,1
"Your OTP code expires in 5 minutes, do not share",30,Medium Risk,0
"Loan approved, confirm by sending OTP code.",30,Medium Risk,1
Update your account details to avoid suspension.,0,Low Risk,1
Thank you for using our service.,0,Low Risk,0
"নতুন অফার এসেছে, আজই অ্যাকসেপ্ট করুন।",0,Low Risk,0
Claim your loan approved by sending OTP.,30,Medium Risk,1
"Fraudulent transaction detected, provide OTP.",30,Medium Risk,1
"জরুরি! আপনার ব্যাংক একাউন্ট বন্ধ হওয়ার ঝুঁকি, OTP: 3798",30,Medium Risk,1
আপনার একাউন্টে ৫০০ টাকা জমা হয়েছে।,0,Low Risk,0
"Your OTP is 8741, do not share it with anyone.",30,Medium Risk,0
"আপনার নাম্বারে লোন পেয়েছে, ফর্ম জমা দিন দ্রুত!",0,Low Risk,1
"Your account suspended, verify OTP now!",45,High Risk,1
সাবধান! আপনার একাউন্ট থেকে অস্বীকৃত টাকা উত্তোলন হয়েছে। জরুরি যাচাই করুন।,0,Low Risk,1
"আপনার OTP কোড 834729, কেউ যাতে জানতে না পারে সতর্ক থাকুন।",30,Medium Risk,0
"আপনার মোবাইল ব্যাংকিং একাউন্ট বন্ধ হতে যাচ্ছে, এখনি লগইন করুন।",0,Low Risk,1
"আপনার একাউন্ট চালু রয়েছে, সর্বশেষ ব্যালেন্স ১০,০০০ টাকা।",0,Low Risk,0
"ডেবিট কার্ড ব্যবহার সীমিত করতে OTP দিন, অন্যথায় একাউন্ট ব্লক হবে।",30,Medium Risk,1
আপনার অ্যাকাউন্ট ভেরিফিকেশন করতে নিচের লিঙ্কে ক্লিক করুন।,0,Low Risk,1
"ওয়ালেট রিচার্জ সফল হয়েছে, পরবর্তী লেনদেনের জন্য প্রস্তুত থাকুন।",0,Low Risk,1
নতুন অফার! আপনার একাউন্টে নগদ টাকা রিফান্ড করা হয়েছে,0,Low Risk,0
অবিলম্বে OTP দিন অন্যথায় অ্যাকাউন্ট থেকে টাকা উঠে যেতে পারে।,30,Medium Risk,1
"আপনার ট্রান্সপোর্ট ফি জমা হয়েছে, ধন্যবাদ।",0,Low Risk,0
ব্যাংকের তরফ থেকে জরুরি বার্তা: আপনার একাউন্ট আপডেট করুন আজই।,0,Low Risk,1
"আপনার মোবাইল ব্যাংকিং PIN পরিবর্তন করা হয়েছে, যদি না করেন তবে রিপোর্ট করুন।",30,Medium Risk,0
একাউন্ট সিকিউরিটি হুমকি! নিম্নলিখিত OTP দিয়ে যাচাই সম্পন্ন করুন।,30,Medium Risk,1
"আপনার লোন আবেদন প্রক্রিয়াধীন, সম্পূর্ণ করতে OTP দিন।",30,Medium Risk,1
আপনার ব্যালেন্স ৫০০০ টাকার নিচে এসে গেছে।,0,Low Risk,0
"আপনার ডেবিট কার্ডের নিরাপত্তা লঙ্ঘিত হয়েছে, অবিলম্বে যাচাই করতে OTP দিন।",30,Medium Risk,1
"আপনার ডেবিট কার্ড থেকে ৫০০০ টাকা কাটা হয়েছে, অবিলম্বে TRX কোড পাঠান।",0,Low Risk,1
Congratulations! You won a prize. Please send OTP to claim.,55,High Risk,1
আপনার মোবাইল অ্যাপ্লিকেশন আপডেট সফল হয়েছে।,0,Low Risk,0
"Your OTP is 789654, keep it confidential to secure your account.",30,Medium Risk,0
Claim your cashback by entering OTP received in next 5 minutes.,30,Medium Risk,1
নিরাপত্তার জন্য আপনার ফোন থেকে আমাদের কনফার্মেশন চান।,0,Low Risk,1
Important: Your account verification is pending. Please provide OTP.,30,Medium Risk,1
Your debit card transaction of 5000 taka was declined. Contact support.,0,Low Risk,1
Congratulations! Claim your reward by submitting OTP within 10 minutes.,45,High Risk,1
"Your recent login was from a new device. If not you, verify with OTP.",30,Medium Risk,1
Update your payment information immediately to avoid suspension.,15,Low Risk,1
Your mobile recharge of 20 taka is successful. Thank you for your payment.,0,Low Risk,0
Refund of 100 taka has been processed to your account.,0,Low Risk,0
"Warning: Suspicious activity detected, confirm via OTP now.",45,High Risk,1
Your loan application was approved. Verify details using OTP.,30,Medium Risk,1
Please ignore any unknown messages pretending to be your bank.,0,Low Risk,0
Your online banking password expired. Reset it via the provided link.,45,High Risk,1
Your account balance is low. Add funds to continue service.,0,Low Risk,0
"To secure your account, provide the OTP sent to your registered phone.",30,Medium Risk,1
Payment of 2500 taka received. Thanks for banking with us,0,Low Risk,0
Alert: Unauthorized transaction attempt detected. Change password now.,45,High Risk,1
Your credit card limit has been increased. Check details in app.,0,Low Risk,0
Verify your identity to avoid account suspension. OTP required.,30,Medium Risk,1
Your request to withdraw 5000 taka was successful.,0,Low Risk,0
Last chance: Provide OTP to claim your prize money now.,45,High Risk,1
Your scheduled payment will be processed tomorrow.,0,Low Risk,0
Alert! Unauthorized login attempt detected. Confirm with OTP immediately.,45,High Risk,1
"Your BDT 10,000 wallet transfer was successful. Thank you for using our service.",0,Low Risk,0
"Suspicious withdrawal of BDT 25,000 detected. Please verify with OTP now.",45,High Risk,1
"Your internet banking password expired, reset it today to avoid service disruption.",30,Medium Risk,1
BDT 100 recharge completed successfully.,0,Low Risk,0
"Congratulations! You won BDT 5,000 cashback. Submit OTP to receive.",30,Medium Risk,1
Verify your identity by entering the OTP sent to your mobile to continue transactions.,30,Medium Risk,1
Your debit card ending 1234 has been temporarily blocked for suspicious activity.,0,Low Risk,1
"BDT 35,000 loan approved. Confirm by sending OTP within 10 minutes.",45,High Risk,1
"Your account balance is BDT 8,200.",0,Low Risk,0
"Immediate action needed! Unrecognized device logged in, confirm with OTP now.",45,High Risk,1
"Reminder: Your scheduled BDT 12,000 bill payment will process tomorrow.",0,Low Risk,0
"Your BDT 2,000 refund has been processed successfully.",0,Low Risk,0
"OTP validation required to complete your BDT 20,000 transfer.",30,Medium Risk,1
Update your mobile number in banking records today for uninterrupted service.,0,Low Risk,1
"Your recent transaction of BDT 7,500 has been verified",0,Low Risk,0
Secure your account now! OTP sent to your registered contact.,45,High Risk,1
